Parliament Code,Federal Constituency,GE14_Alliance,GE14_Margin,GE15_Alliance,GE15_Margin
p048,Bukit Bendera,PH,68.22,PH,68.52
p049,Tanjong,PH,74.51,PH,76.3
p065,Ipoh Barat,PH,69.81,PH,72.32
p066,Batu Gajah,PH,69.87,PH,71.82
p068,Beruas,PH,46.38,PH,47.07
p070,Kampar,PH,22.48,PH,24.13
p072,Tapah,BN,1.7,BN,11.46
p076,Teluk Intan,PH,20.83,PH,23.63
p078,Cameron Highlands,BN,2.46,BN,13.66
p080,Raub,PH,6.86,PH,7.75
p090,Bera,BN,4.89,BN,28.04
p114,Kepong,PH,84.08,PH,85.08
p120,Bukit Bintang,PH,71.1,PH,73.63
p121,Lembah Pantai,PH,8.44,PH,18.13
p126,Jelebu,BN,5.25,BN,17.92
p127,Jempol,BN,2.85,BN,8.16
p131,Rembau,BN,5.91,BN,18.27
p132,Port Dickson,PH,28.87,PH,29.6
p141,Sekijang,PH,3.39,PH,3.61
p148,Ayer Hitam,BN,0.78,BN,6.35
p153,Sembrong,BN,18.48,BN,26.58
p164,Pontian,BN,1.82,BN,10.12
p176,Kimanis,BN,0.62,BN,9.82
p182,Pensiangan,BN,9.52,BN,14.63
p184,Libaran,BN,1.88,BN,29.12
p186,Sandakan,PH,35.95,PH,37.13
p192,Mas Gading,PH,13.43,PH,17.46
