Federal Constituency,URL,Parliament Code
Padang Besar,https://en.wikipedia.org/wiki/Padang_Besar_(federal_constituency),p001
Kangar,https://en.wikipedia.org/wiki/Kangar_(federal_constituency),p002
Arau,https://en.wikipedia.org/wiki/Arau_(federal_constituency),p003
Langkawi,https://en.wikipedia.org/wiki/Langkawi_(federal_constituency),p004
Jerlun,https://en.wikipedia.org/wiki/Jerlun_(federal_constituency),p005
Kubang Pasu,https://en.wikipedia.org/wiki/Kubang_Pasu_(federal_constituency),p006
Padang Terap,https://en.wikipedia.org/wiki/Padang_Terap_(federal_constituency),p007
Pokok Sena,https://en.wikipedia.org/wiki/Pokok_Sena_(federal_constituency),p008
Alor Setar,https://en.wikipedia.org/wiki/Alor_Setar_(federal_constituency),p009
Kuala Kedah,https://en.wikipedia.org/wiki/Kuala_Kedah_(federal_constituency),p010
Pendang,https://en.wikipedia.org/wiki/Pendang_(federal_constituency),p011
Jerai,https://en.wikipedia.org/wiki/Jerai_(federal_constituency),p012
Sik,https://en.wikipedia.org/wiki/Sik_(federal_constituency),p013
Merbok,https://en.wikipedia.org/wiki/Merbok_(federal_constituency),p014
Sungai Petani,https://en.wikipedia.org/wiki/Sungai_Petani_(federal_constituency),p015
Baling,https://en.wikipedia.org/wiki/Baling_(federal_constituency),p016
Padang Serai,https://en.wikipedia.org/wiki/Padang_Serai_(federal_constituency),p017
Kulim-Bandar Baharu,https://en.wikipedia.org/wiki/Kulim-Bandar_Baharu_(federal_constituency),p018
Tumpat,https://en.wikipedia.org/wiki/Tumpat_(federal_constituency),p019
Pengkalan Chepa,https://en.wikipedia.org/wiki/Pengkalan_Chepa_(federal_constituency),p020
Kota Bharu,https://en.wikipedia.org/wiki/Kota_Bharu_(federal_constituency),p021
Pasir Mas,https://en.wikipedia.org/wiki/Pasir_Mas_(federal_constituency),p022
Rantau Panjang,https://en.wikipedia.org/wiki/Rantau_Panjang_(federal_constituency),p023
Kubang Kerian,https://en.wikipedia.org/wiki/Kubang_Kerian_(federal_constituency),p024
Bachok,https://en.wikipedia.org/wiki/Bachok_(federal_constituency),p025
Ketereh,https://en.wikipedia.org/wiki/Ketereh_(federal_constituency),p026
Tanah Merah,https://en.wikipedia.org/wiki/Tanah_Merah_(federal_constituency),p027
Pasir Puteh,https://en.wikipedia.org/wiki/Pasir_Puteh_(federal_constituency),p028
Machang,https://en.wikipedia.org/wiki/Machang_(federal_constituency),p029
Jeli,https://en.wikipedia.org/wiki/Jeli_(federal_constituency),p030
Kuala Krai,https://en.wikipedia.org/wiki/Kuala_Krai_(federal_constituency),p031
Gua Musang,https://en.wikipedia.org/wiki/Gua_Musang_(federal_constituency),p032
Besut,https://en.wikipedia.org/wiki/Besut_(federal_constituency),p033
Setiu,https://en.wikipedia.org/wiki/Setiu_(federal_constituency),p034
Kuala Nerus,https://en.wikipedia.org/wiki/Kuala_Nerus_(federal_constituency),p035
Kuala Terengganu,https://en.wikipedia.org/wiki/Kuala_Terengganu_(federal_constituency),p036
Marang,https://en.wikipedia.org/wiki/Marang_(federal_constituency),p037
Hulu Terengganu,https://en.wikipedia.org/wiki/Hulu_Terengganu_(federal_constituency),p038
Dungun,https://en.wikipedia.org/wiki/Dungun_(federal_constituency),p039
Kemaman,https://en.wikipedia.org/wiki/Kemaman_(federal_constituency),p040
Kepala Batas,https://en.wikipedia.org/wiki/Kepala_Batas_(federal_constituency),p041
Tasek Gelugor,https://en.wikipedia.org/wiki/Tasek_Gelugor_(federal_constituency),p042
Bagan,https://en.wikipedia.org/wiki/Bagan_(federal_constituency),p043
Permatang Pauh,https://en.wikipedia.org/wiki/Permatang_Pauh_(federal_constituency),p044
Bukit Mertajam,https://en.wikipedia.org/wiki/Bukit_Mertajam_(federal_constituency),p045
Batu Kawan,https://en.wikipedia.org/wiki/Batu_Kawan_(federal_constituency),p046
Nibong Tebal,https://en.wikipedia.org/wiki/Nibong_Tebal_(federal_constituency),p047
Bukit Bendera,https://en.wikipedia.org/wiki/Bukit_Bendera_(federal_constituency),p048
Tanjong,https://en.wikipedia.org/wiki/Tanjong_(federal_constituency),p049
Jelutong,https://en.wikipedia.org/wiki/Jelutong_(federal_constituency),p050
Bukit Gelugor,https://en.wikipedia.org/wiki/Bukit_Gelugor_(federal_constituency),p051
Bayan Baru,https://en.wikipedia.org/wiki/Bayan_Baru_(federal_constituency),p052
Balik Pulau,https://en.wikipedia.org/wiki/Balik_Pulau_(federal_constituency),p053
Gerik,https://en.wikipedia.org/wiki/Gerik_(federal_constituency),p054
Lenggong,https://en.wikipedia.org/wiki/Lenggong_(federal_constituency),p055
Larut,https://en.wikipedia.org/wiki/Larut_(federal_constituency),p056
Parit Buntar,https://en.wikipedia.org/wiki/Parit_Buntar_(federal_constituency),p057
Bagan Serai,https://en.wikipedia.org/wiki/Bagan_Serai_(federal_constituency),p058
Bukit Gantang,https://en.wikipedia.org/wiki/Bukit_Gantang_(federal_constituency),p059
Taiping,https://en.wikipedia.org/wiki/Taiping_(federal_constituency),p060
Padang Rengas,https://en.wikipedia.org/wiki/Padang_Rengas_(federal_constituency),p061
Sungai Siput,https://en.wikipedia.org/wiki/Sungai_Siput_(federal_constituency),p062
Tambun,https://en.wikipedia.org/wiki/Tambun_(federal_constituency),p063
Ipoh Timor,https://en.wikipedia.org/wiki/Ipoh_Timor_(federal_constituency),p064
Ipoh Barat,https://en.wikipedia.org/wiki/Ipoh_Barat_(federal_constituency),p065
Batu Gajah,https://en.wikipedia.org/wiki/Batu_Gajah_(federal_constituency),p066
Kuala Kangsar,https://en.wikipedia.org/wiki/Kuala_Kangsar_(federal_constituency),p067
Beruas,https://en.wikipedia.org/wiki/Beruas_(federal_constituency),p068
Parit,https://en.wikipedia.org/wiki/Parit_(federal_constituency),p069
Kampar,https://en.wikipedia.org/wiki/Kampar_(federal_constituency),p070
Gopeng,https://en.wikipedia.org/wiki/Gopeng_(federal_constituency),p071
Tapah,https://en.wikipedia.org/wiki/Tapah_(federal_constituency),p072
Pasir Salak,https://en.wikipedia.org/wiki/Pasir_Salak_(federal_constituency),p073
Lumut,https://en.wikipedia.org/wiki/Lumut_(federal_constituency),p074
Bagan Datuk,https://en.wikipedia.org/wiki/Bagan_Datuk_(federal_constituency),p075
Teluk Intan,https://en.wikipedia.org/wiki/Teluk_Intan_(federal_constituency),p076
Tanjong Malim,https://en.wikipedia.org/wiki/Tanjong_Malim_(federal_constituency),p077
Cameron Highlands,https://en.wikipedia.org/wiki/Cameron_Highlands_(federal_constituency),p078
