Parliament Code,Federal Constituency,GE14_Alliance,GE14_Margin,GE15_Alliance,GE15_Margin
p001,Padang Besar,BN,3.94,PN,27.78
p002,Kangar,PH,12.54,PN,16.48
p003,Arau,BN,12.26,PN,49.62
p004,Langkawi,PH,25.76,PN,28.52
p005,Jerlun,PH,13.35,PN,39.18
p006,Kubang Pasu,PH,21.56,PN,37.87
p007,Padang Terap,BN,2.82,PN,22.54
p008,Pokok Sena,PH,7.86,PN,36.1
p009,Alor Setar,PH,23.78,PN,13.01
p010,Kuala Kedah,PH,17.03,PN,28.0
p011,Pendang,PAS,9.33,PN,41.39
p012,Jerai,PAS,0.82,PN,40.33
p013,Sik,PAS,12.45,PN,44.36
p014,Merbok,PH,14.12,PN,20.6
p015,Sungai Petani,PH,23.31,PH,0.86
p016,Baling,BN,1.19,PN,26.72
p017,Padang Serai,PKR,13.42,PH,12.57
p018,Kulim-Bandar Baharu,PH,7.24,PN,18.57
p019,Tumpat,PAS,20.21,PN,33.32
p020,Pengkalan Chepa,PAS,22.28,PN,49.5
p021,Kota Bharu,PAS,8.76,PN,29.06
p022,Pasir Mas,PAS,24.42,PN,47.15
p023,Rantau Panjang,PAS,12.71,PN,34.19
p024,Kubang Kerian,PAS,30.54,PN,50.19
p025,Bachok,PAS,4.45,PN,33.54
p026,Ketereh,BN,8.71,PN,36.75
p027,Tanah Merah,BN,5.04,PN,63.94
p028,Pasir Puteh,PAS,2.0,PN,35.95
p029,Machang,BN,5.13,PN,15.59
p030,Jeli,BN,17.15,PN,29.02
p031,Kuala Krai,PAS,14.53,PN,38.94
p032,Gua Musang,BN,9.8,PN,0.34
p033,Besut,BN,6.48,PN,21.87
p034,Setiu,PAS,3.89,PN,22.43
p035,Kuala Nerus,PAS,11.71,PN,33.97
p036,Kuala Terengganu,PAS,17.06,PN,42.37
p037,Marang,PAS,24.21,PN,38.26
p038,Hulu Terengganu,BN,4.6,PN,21.85
p039,Dungun,PAS,17.4,PN,37.49
p040,Kemaman,PAS,2.39,PN,24.03
p041,Kepala Batas,BN,9.06,PN,4.14
p042,Tasek Gelugor,BN,0.16,PN,18.3
p043,Bagan,PH,73.06,PH,72.32
p044,Permatang Pauh,PH,22.44,PN,6.03
p045,Bukit Mertajam,PH,70.79,PH,62.2
p046,Batu Kawan,PH,61.33,PH,58.82
p047,Nibong Tebal,PH,25.44,PH,20.54
p048,Bukit Bendera,PH,68.22,PH,68.52
p049,Tanjong,PH,74.51,PH,76.3
p050,Jelutong,PH,59.96,PH,55.15
p051,Bukit Gelugor,PH,73.91,PH,73.32
p052,Bayan Baru,PH,50.44,PH,39.07
p053,Balik Pulau,PH,12.99,PH,2.5
p054,Gerik,BN,20.24,PN,3.98
p055,Lenggong,BN,24.88,BN,3.18
p056,Larut,BN,11.32,PN,22.36
p057,Parit Buntar,PH,7.25,PN,10.2
p058,Bagan Serai,BN,0.36,PN,29.67
p059,Bukit Gantang,BN,7.19,PN,17.82
p060,Taiping,PH,39.26,PH,30.24
p061,Padang Rengas,BN,10.08,PN,10.19
p062,Sungai Siput,PH,13.12,PH,3.66
p063,Tambun,PH,6.12,PH,2.99
p064,Ipoh Timor,PH,60.93,PH,55.01
p065,Ipoh Barat,PH,69.81,PH,72.32
p066,Batu Gajah,PH,69.87,PH,71.82
p067,Kuala Kangsar,BN,2.43,PN,9.97
p068,Beruas,PH,46.38,PH,47.07
p069,Parit,BN,21.8,PN,5.74
p070,Kampar,PH,22.48,PH,24.13
p071,Gopeng,PH,37.58,PH,26.2
p072,Tapah,BN,1.7,BN,11.46
p073,Pasir Salak,BN,17.75,PN,8.77
p074,Lumut,PH,0.75,PN,0.51
p075,Bagan Datuk,BN,13.78,BN,0.83
p076,Teluk Intan,PH,20.83,PH,23.63
p077,Tanjong Malim,PH,9.87,PH,5.15
p078,Cameron Highlands,BN,2.46,BN,13.66
p079,Lipis,BN,23.38,BN,17.06
p080,Raub,PH,6.86,PH,7.75
p081,Jerantut,BN,11.76,PN,12.12
p082,Indera Mahkota,PH,17.18,PN,8.99
p083,Kuantan,PH,15.85,PN,4.23
p084,Paya Besar,BN,13.02,BN,2.12
p085,Pekan,BN,35.2,BN,9.66
p086,Maran,BN,11.5,PN,4.43
p087,Kuala Krau,BN,7.51,PN,2.14
p088,Temerloh,PH,3.12,PN,6.68
p089,Bentong,PH,3.69,PH,1.04
p090,Bera,BN,4.89,BN,28.04
p091,Rompin,BN,22.91,PN,2.15
p092,Sabak Bernam,BN,5.02,PN,12.34
p093,Sungai Besar,PH,1.73,PN,5.33
p094,Hulu Selangor,PH,15.71,PN,1.29
p095,Tanjong Karang,BN,4.86,PN,4.38
p096,Kuala Selangor,PH,14.23,PH,1.16
p097,Selayang,PH,41.49,PH,16.41
p098,Gombak,PH,40.93,PH,7.73
p099,Ampang,PH,54.81,PH,29.7
p100,Pandan,PH,61.31,PH,42.11
p101,Hulu Langat,PH,28.81,PH,10.95
p102,Bangi,PH,43.99,PH,28.77
p103,Puchong,PH,57.06,PH,47.92
p104,Subang,PH,73.47,PH,66.53
p105,Petaling Jaya,PH,49.56,PH,35.28
p106,Damansara,PH,78.44,PH,71.24
p107,Sungai Buloh,PH,34.17,PH,2.09
p108,Shah Alam,PH,36.3,PH,13.33
p109,Kapar,PH,15.37,PN,7.54
p110,Klang,PH,61.99,PH,56.65
p111,Kota Raja,PH,55.53,PH,37.58
p112,Kuala Langat,PH,19.42,PN,1.49
p113,Sepang,PH,20.63,PH,6.53
p114,Kepong,PH,84.08,PH,85.08
p115,Batu,Independent,38.91,PH,26.42
p116,Wangsa Maju,PH,32.93,PH,22.51
p117,Segambut,PH,70.61,PH,69.81
p118,Setiawangsa,PH,23.62,PH,16.44
p119,Titiwangsa,PH,8.21,BN,7.61
p120,Bukit Bintang,PH,71.1,PH,73.63
p121,Lembah Pantai,PH,8.44,PH,18.13
p122,Seputeh,PH,79.94,PH,77.59
p123,Cheras,PH,78.0,PH,75.89
p124,Bandar Tun Razak,PH,28.39,PH,10.55
p125,Putrajaya,BN,13.73,PN,6.32
p126,Jelebu,BN,5.25,BN,17.92
p127,Jempol,BN,2.85,BN,8.16
p128,Seremban,PH,33.43,PH,25.09
p129,Kuala Pilah,PH,0.5,BN,13.41
p130,Rasah,PH,54.94,PH,51.79
p131,Rembau,BN,5.91,BN,18.27
p132,Port Dickson,PH,28.87,PH,29.6
p133,Tampin,PH,2.07,BN,2.09
p134,Masjid Tanah,BN,19.28,PN,8.06
p135,Alor Gajah,PH,12.07,PH,1.22
p136,Tangga Batu,PH,6.74,PN,9.64
p137,Hang Tuah Jaya,PH,11.28,PH,9.14
p138,Kota Melaka,PH,46.71,PH,37.68
p139,Jasin,BN,0.35,PN,0.41
p140,Segamat,PH,12.08,PH,11.19
p141,Sekijang,PH,3.39,PH,3.61
p142,Labis,PH,10.64,PH,8.15
p143,Pagoh,PH,16.23,PN,18.4
p144,Ledang,PH,13.25,PH,12.2
p145,Bakri,PH,37.56,PH,26.32
p146,Muar,PH,16.52,MUDA,2.53
p147,Parit Sulong,BN,12.74,BN,3.21
