Federal Constituency,Parliament Code,Margin-of-Votes,Classification
Tasek Gelugor,p042,0.16,Marginal
Jasin,p139,0.35,Marginal
Bagan Serai,p058,0.36,Marginal
Ayer Hitam,p148,0.78,Marginal
Baling,p016,1.19,Marginal
Tapah,p072,1.7,Marginal
Pontian,p164,1.82,Marginal
Libaran,p184,1.88,Marginal
Kuala Kangsar,p067,2.43,Marginal
Padang Terap,p007,2.82,Marginal
Jempol,p127,2.85,Marginal
Sipitang,p178,3.44,Marginal
Kudat,p167,3.67,Marginal
Padang Besar,p001,3.94,Marginal
Hulu Terengganu,p038,4.6,Marginal
Tanjong Karang,p095,4.86,Marginal
Bera,p090,4.89,Marginal
Sabak Bernam,p092,5.02,Marginal
Tanah Merah,p027,5.04,Marginal
Machang,p029,5.13,Marginal
Kota Marudu,p168,5.23,Marginal
Jelebu,p126,5.25,Marginal
Rembau,p131,5.91,Marginal
Besut,p033,6.48,Fairly Safe
Labuan,p166,6.79,Fairly Safe
Bukit Gantang,p059,7.19,Fairly Safe
Kuala Krau,p087,7.51,Fairly Safe
Kimanis,p176,8.68,Fairly Safe
Ketereh,p026,8.71,Fairly Safe
Baram,p220,8.9,Fairly Safe
Kepala Batas,p041,9.06,Fairly Safe
Pensiangan,p182,9.52,Fairly Safe
Gua Musang,p032,9.8,Fairly Safe
Padang Rengas,p061,10.08,Safe
Larut,p056,11.32,Safe
Maran,p086,11.5,Safe
Jerantut,p081,11.76,Safe
Beaufort,p177,12.24,Safe
Arau,p003,12.26,Safe
Parit Sulong,p147,12.74,Safe
Paya Besar,p084,13.02,Safe
Putrajaya,p125,13.73,Safe
Bagan Datuk,p075,13.78,Safe
Bintulu,p217,14.8,Safe
Cameron Highlands,p078,15.11,Safe
Tenggara,p155,16.02,Safe
Sibuti,p218,16.43,Safe
Jeli,p030,17.15,Safe
Pasir Salak,p073,17.75,Safe
Tuaran,p170,18.03,Safe
Sembrong,p153,18.48,Safe
Masjid Tanah,p134,19.28,Very Safe
Gerik,p054,20.24,Very Safe
Parit,p069,21.8,Very Safe
Mersing,p154,22.64,Very Safe
Rompin,p091,22.91,Very Safe
Lipis,p079,23.38,Very Safe
Lenggong,p055,24.88,Very Safe
Sri Aman,p202,25.3,Very Safe
Kanowit,p210,29.15,Very Safe
Mukah,p213,33.81,Very Safe
Petra Jaya,p194,34.97,Very Safe
Pekan,p085,35.2,Very Safe
Beluran,p183,35.26,Very Safe
Pengerang,p157,35.41,Very Safe
Serian,p199,36.12,Very Safe
Hulu Rajang,p216,36.39,Very Safe
Kota Tinggi,p156,38.28,Very Safe
Betong,p204,39.17,Very Safe
Tanjung Piai,p165,39.28,Very Safe
Lawas,p222,42.11,Very Safe
Kinabatangan,p187,44.05,Very Safe
Limbang,p221,44.14,Very Safe
Kota Samarahan,p197,47.38,Very Safe
Batang Lupar,p201,51.0,Very Safe
Kapit,p215,57.82,Very Safe
Santubong,p193,58.56,Very Safe
Tanjong Manis,p206,61.39,Very Safe
Igan,p207,67.52,Very Safe
Batang Sadong,p200,72.24,Very Safe
