Election,Parliament Code,Federal Constituency,Alliance,Majority,Percentage of Vote,Total Voters in Constituency,Margin-of-Votes,Classification
ge14,p001,Padang Besar,BN,1438,41.18,36500,3.94,Marginal
ge14,p002,Kangar,PH,5603,46.8,44680,12.54,Safe
ge14,p003,Arau,BN,4856,41.79,39600,12.26,Safe
ge14,p004,Langkawi,PH,8893,54.9,34527,25.76,Very Safe
ge14,p005,Jerlun,PH,5866,42.55,43937,13.35,Safe
ge14,p006,Kubang Pasu,PH,13009,49.7,60334,21.56,Very Safe
ge14,p007,Padang Terap,BN,1099,42.09,38923,2.82,Marginal
ge14,p008,Pokok Sena,PH,5558,40.93,70750,7.86,Fairly Safe
ge14,p009,Alor Setar,PH,15200,50.8,63931,23.78,Very Safe
ge14,p010,Kuala Kedah,PH,13481,46.26,79167,17.03,Safe
ge14,p011,Pendang,PAS,5808,42.63,62246,9.33,Fairly Safe
ge14,p012,Jerai,PAS,539,33.94,65736,0.82,Marginal
ge14,p013,Sik,PAS,5218,47.91,41928,12.45,Safe
ge14,p014,Merbok,PH,10072,43.31,71350,14.12,Safe
ge14,p015,Sungai Petani,PH,21569,49.21,92534,23.31,Very Safe
ge14,p016,Baling,BN,1074,42.6,90512,1.19,Marginal
ge14,p017,Padang Serai,PKR,8437,54.31,62885,13.42,Safe
ge14,p018,Kulim-Bandar Baharu,PH,3860,41.54,53343,7.24,Fairly Safe
ge14,p019,Tumpat,PAS,17500,54.33,86585,20.21,Very Safe
ge14,p020,Pengkalan Chepa,PAS,13232,54.88,59387,22.28,Very Safe
ge14,p021,Kota Bharu,PAS,5869,42.24,66969,8.76,Fairly Safe
ge14,p022,Pasir Mas,PAS,13075,52.44,53551,24.42,Very Safe
ge14,p023,Rantau Panjang,PAS,6150,50.82,48373,12.71,Safe
ge14,p024,Kubang Kerian,PAS,19369,56.16,63428,30.54,Very Safe
ge14,p025,Bachok,PAS,3292,48.93,73964,4.45,Marginal
ge14,p026,Ketereh,BN,4626,47.95,53107,8.71,Fairly Safe
ge14,p027,Tanah Merah,BN,2929,48.44,58122,5.04,Marginal
ge14,p028,Pasir Puteh,PAS,1360,47.41,68150,2.0,Marginal
ge14,p029,Machang,BN,2824,47.39,55023,5.13,Marginal
ge14,p030,Jeli,BN,6647,55.89,38761,17.15,Safe
ge14,p031,Kuala Krai,PAS,7992,52.56,54987,14.53,Safe
ge14,p032,Gua Musang,BN,3913,48.64,39936,9.8,Fairly Safe
ge14,p033,Besut,BN,4599,48.4,70935,6.48,Fairly Safe
ge14,p034,Setiu,PAS,2802,48.65,71978,3.89,Marginal
ge14,p035,Kuala Nerus,PAS,8447,52.66,72105,11.71,Safe
ge14,p036,Kuala Terengganu,PAS,14773,49.65,86583,17.06,Safe
ge14,p037,Marang,PAS,21954,59.27,90682,24.21,Very Safe
ge14,p038,Hulu Terengganu,BN,2868,49.6,62346,4.6,Marginal
ge14,p039,Dungun,PAS,13119,54.17,75414,17.4,Safe
ge14,p040,Kemaman,PAS,2163,44.06,90504,2.39,Marginal
ge14,p041,Kepala Batas,BN,4736,42.94,52302,9.06,Fairly Safe
ge14,p042,Tasek Gelugor,BN,81,35.73,51904,0.16,Marginal
ge14,p043,Bagan,PH,43902,85.96,60087,73.06,Very Safe
