Federal Constituency,Parliament Code,Margin-of-Votes,Classification
Jerai,p012,0.82,Marginal
Pasir Puteh,p028,2.0,Marginal
Kemaman,p040,2.39,Marginal
Setiu,p034,3.89,Marginal
Bachok,p025,4.45,Marginal
Kota Bharu,p021,8.76,Fairly Safe
Pendang,p011,9.33,Fairly Safe
Kuala Nerus,p035,11.71,Safe
Sik,p013,12.45,Safe
Rantau Panjang,p023,12.71,Safe
Kuala Krai,p031,14.53,Safe
Kuala Terengganu,p036,17.06,Safe
Dungun,p039,17.4,Safe
Tumpat,p019,20.21,Very Safe
Pengkalan Chepa,p020,22.28,Very Safe
Marang,p037,24.21,Very Safe
Pasir Mas,p022,24.42,Very Safe
Kubang Kerian,p024,30.54,Very Safe
