Federal Constituency,Parliament Code,Margin-of-Votes,Classification
Lubok Antu,p203,0.52,Marginal
Kanowit,p210,1.34,Marginal
Sarikei,p208,10.14,Safe
Sri Aman,p202,12.65,Safe
Selangau,p214,17.31,Safe
Baram,p220,24.64,Very Safe
Puncak Borneo,p198,26.07,Very Safe
Lawas,p222,31.18,Very Safe
Bintulu,p217,31.49,Very Safe
Hulu Rajang,p216,32.06,Very Safe
Sibuti,p218,34.63,Very Safe
Serian,p199,41.77,Very Safe
Betong,p204,42.31,Very Safe
Limbang,p221,50.51,Very Safe
Batang Lupar,p201,52.48,Very Safe
Kota Samarahan,p197,53.43,Very Safe
Kapit,p215,56.38,Very Safe
Mukah,p213,56.47,Very Safe
Petra Jaya,p194,59.81,Very Safe
Batang Sadong,p200,66.36,Very Safe
Tanjong Manis,p206,73.05,Very Safe
Santubong,p193,74.66,Very Safe
Igan,p207,86.32,Very Safe
