Federal Constituency,Parliament Code,Margin-of-Votes,Classification
Gua Musang,p032,0.34,Marginal
Jasin,p139,0.41,Marginal
Lumut,p074,0.51,Marginal
Hulu Selangor,p094,1.29,Marginal
Kuala Langat,p112,1.49,Marginal
Kuala Krau,p087,2.14,Marginal
Rompin,p091,2.15,Marginal
Labuan,p166,2.51,Marginal
Gerik,p054,3.98,Marginal
Kepala Batas,p041,4.14,Marginal
Kuantan,p083,4.23,Marginal
Tanjong Karang,p095,4.38,Marginal
Maran,p086,4.43,Marginal
Mersing,p154,4.99,Marginal
Sungai Besar,p093,5.33,Marginal
Beluran,p183,5.46,Marginal
Parit,p069,5.74,Marginal
Permatang Pauh,p044,6.03,Fairly Safe
Putrajaya,p125,6.32,Fairly Safe
Temerloh,p088,6.68,Fairly Safe
Kapar,p109,7.54,Fairly Safe
Masjid Tanah,p134,8.06,Fairly Safe
Pasir Salak,p073,8.77,Fairly Safe
Indera Mahkota,p082,8.99,Fairly Safe
Tangga Batu,p136,9.64,Fairly Safe
Kuala Kangsar,p067,9.97,Fairly Safe
Padang Rengas,p061,10.19,Safe
Parit Buntar,p057,10.2,Safe
Jerantut,p081,12.12,Safe
Sabak Bernam,p092,12.34,Safe
Alor Setar,p009,13.01,Safe
Machang,p029,15.59,Safe
Kangar,p002,16.48,Safe
Bukit Gantang,p059,17.82,Safe
Padang Serai,p017,17.9,Safe
Tasek Gelugor,p042,18.3,Safe
Pagoh,p143,18.4,Safe
Kulim-Bandar Baharu,p018,18.57,Safe
Merbok,p014,20.6,Very Safe
Hulu Terengganu,p038,21.85,Very Safe
Besut,p033,21.87,Very Safe
Larut,p056,22.36,Very Safe
Setiu,p034,22.43,Very Safe
Padang Terap,p007,22.54,Very Safe
Kemaman,p040,24.03,Very Safe
Baling,p016,26.72,Very Safe
Padang Besar,p001,27.78,Very Safe
Kuala Kedah,p010,28.0,Very Safe
Langkawi,p004,28.52,Very Safe
Saratok,p205,28.62,Very Safe
Jeli,p030,29.02,Very Safe
Kota Bharu,p021,29.06,Very Safe
Bagan Serai,p058,29.67,Very Safe
Tumpat,p019,33.32,Very Safe
Bachok,p025,33.54,Very Safe
Kuala Nerus,p035,33.97,Very Safe
Rantau Panjang,p023,34.19,Very Safe
Pasir Puteh,p028,35.95,Very Safe
Pokok Sena,p008,36.1,Very Safe
Ketereh,p026,36.75,Very Safe
Dungun,p039,37.49,Very Safe
Kubang Pasu,p006,37.87,Very Safe
Marang,p037,38.26,Very Safe
Kuala Krai,p031,38.94,Very Safe
Jerlun,p005,39.18,Very Safe
Jerai,p012,40.33,Very Safe
Pendang,p011,41.39,Very Safe
Kuala Terengganu,p036,42.37,Very Safe
Sik,p013,44.36,Very Safe
Pasir Mas,p022,47.15,Very Safe
Pengkalan Chepa,p020,49.5,Very Safe
Arau,p003,49.62,Very Safe
Kubang Kerian,p024,50.19,Very Safe
Tanah Merah,p027,63.94,Very Safe
